fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
20460,US,,,cbsa,,iso1:us#cbsa:20460,,47995,0.312,other,13.4,,0.81,0.49,,,0.75,3,3,2,4,0,,1,17195,214,,,,138,66,2,,8,6,1,,45,,26098,21755,2023-02-11,,0.544,0.453,0,,3,8247,0.172,93.8,,,171,92,2,21,14,1,0.017,,5,6,6.0,,0,2912,0.061
20500,US,,,cbsa,,iso1:us#cbsa:20500,,644367,0.107,other,16.3,,,,,,,2,2,2,4,4,,4,190454,943,,,,2141,1939,167,,268,242,40,,0,,486598,462316,2023-02-11,,0.755,0.717,0,,3,323242,0.502,114.1,,,6105,5564,445,811,737,96,0.067,,162,243,11.3,,1,,
20540,US,,,cbsa,,iso1:us#cbsa:20540,,37159,0.048,other,15.8,,0.76,0.51,,,0.14,2,1,2,4,0,,0,15590,222,,,,148,37,2,,14,2,0,,0,,17729,15533,2023-02-11,,0.477,0.418,0,,3,6368,0.171,110.3,,,163,46,2,14,2,0,0.01,,4,4,2.9,,0,1860,0.05
20580,US,,,cbsa,,iso1:us#cbsa:20580,,58722,0.2,other,9.7,,0.79,0.61,,,0.89,2,2,1,4,0,,3,24097,478,,,,121,59,1,,8,7,0,,0,,111637,60609,2023-02-11,,0.95,0.95,0,,3,21357,0.364,68.1,,,121,59,4,8,7,0,0.019,,4,7,1.8,,0,9102,0.155
20660,US,,,cbsa,,iso1:us#cbsa:20660,,37181,0.076,other,7.3,,0.8,0.81,,,1.0,1,1,1,4,0,,3,7182,111,,,,129,107,3,,7,7,1,,5,,31952,28508,2023-02-11,,0.859,0.767,1,,2,17675,0.475,51.1,,,129,107,3,7,7,1,0.028,,4,4,0.7,,0,9423,0.253
20700,US,,,cbsa,,iso1:us#cbsa:20700,,170271,0.148,other,11.5,,1.02,0.3,,,0.69,2,2,2,4,1,,0,47686,590,,,,258,204,2,,24,16,1,,0,,116036,102323,2023-02-11,,0.681,0.601,0,,3,45246,0.266,80.5,,,2112,1711,35,240,138,8,0.023,,17,67,9.6,,0,,
20740,US,,,cbsa,,iso1:us#cbsa:20740,,169304,0.124,other,13.8,,1.15,0.36,,,,2,2,2,4,2,,4,58414,428,,,,383,273,12,,,,,,29,,110970,104914,2023-02-11,,0.655,0.62,0,,3,66379,0.392,96.3,,,856,572,24,58,40,1,0.036,,15,18,6.0,,0,34215,0.202
20780,US,,,cbsa,,iso1:us#cbsa:20780,,55127,0.154,other,5.4,,0.82,0.73,,,0.29,2,2,1,4,0,,0,18727,39,,,,56,24,0,,5,1,0,,2,,58767,47291,2023-02-11,,0.95,0.858,0,,3,23713,0.43,38.1,,,538,353,3,63,28,0,0.009,,5,35,5.9,,0,10344,0.188
20820,US,,,cbsa,,iso1:us#cbsa:20820,,34008,0.159,other,7.6,,0.85,0.89,,,0.42,2,2,1,4,0,,0,12763,157,,,,109,39,2,,10,4,0,,18,,18492,17092,2023-02-11,,0.544,0.503,0,,3,9076,0.267,52.9,,,109,39,2,10,4,0,0.018,,5,5,5.4,,0,3758,0.111
20900,US,,,cbsa,,iso1:us#cbsa:20900,,41556,0.086,other,11.0,,0.8,0.77,,,,2,1,2,4,0,,4,11469,227,,,,28,16,1,,0,0,0,,0,,24671,21125,2023-02-11,,0.594,0.508,0,,2,7740,0.186,77.0,,,50,48,2,8,6,1,0.034,,7,9,3.8,,0,2485,0.06
20940,US,,,cbsa,,iso1:us#cbsa:20940,,181215,0.053,other,10.5,,0.99,0.3,,,0.4,2,1,2,4,1,,0,88138,1024,,,,205,107,4,,20,8,0,,133,,264387,180820,2023-02-11,,0.95,0.95,0,536739,2,82267,0.454,73.4,,,5670,4370,235,596,451,11,0.045,,56,112,9.2,,0,,
20980,US,,,cbsa,,iso1:us#cbsa:20980,,38682,0.167,other,10.7,,0.82,0.73,,,1.0,2,2,2,4,0,,3,11213,204,,,,52,52,3,,5,5,0,,6,,25429,20014,2023-02-11,,0.657,0.517,0,,3,8021,0.207,75.0,,,78,68,4,9,5,0,0.031,,5,5,1.5,,0,3296,0.085
21020,US,,,cbsa,,iso1:us#cbsa:21020,,53287,0.135,other,17.4,,0.98,0.53,,,,2,2,2,4,1,,4,14077,183,,,,,,,,,,,,0,,30031,27556,2023-02-11,,0.564,0.517,0,,3,14809,0.278,122.0,,,230,136,7,26,13,2,0.03,,,10,8.9,,0,,
21060,US,,,cbsa,,iso1:us#cbsa:21060,,153928,0.109,other,13.9,,0.94,0.28,,,,2,2,2,4,1,,4,55615,654,,,,,,,,,,,,0,,109786,93623,2023-02-11,,0.713,0.608,0,,3,41234,0.268,97.4,,,930,600,21,60,15,3,0.019,,,15,4.0,,0,16340,0.106
21120,US,,,cbsa,,iso1:us#cbsa:21120,,21859,,other,23.5,,1.04,0.71,,,0.64,2,4,2,4,1,,0,7228,112,,,,62,23,0,,4,2,0,,36,,10722,9321,2023-02-11,,0.491,0.426,0,,3,4074,0.186,164.7,,,62,23,0,4,2,0,0.041,,4,4,15.7,,1,1607,0.074
21140,US,,,cbsa,,iso1:us#cbsa:21140,,206341,0.12,other,6.2,,1.07,0.45,,,0.67,2,2,1,4,1,,0,61062,791,,,,311,220,7,,35,23,1,,0,,105293,93506,2023-02-11,,0.51,0.453,0,,3,43882,0.213,43.6,,,358,267,7,41,29,1,0.027,,8,12,4.9,,0,13873,0.067
21180,US,,,cbsa,,iso1:us#cbsa:21180,,28695,0.114,other,5.0,,0.66,0.81,,,0.78,2,2,1,4,0,,1,12002,99,,,,37,30,0,,9,7,0,,0,,17955,16222,2023-02-11,,0.626,0.565,0,,3,8334,0.29,34.8,,,82,36,0,9,7,0,0.037,,4,4,6.6,,0,2743,0.096
21220,US,,,cbsa,,iso1:us#cbsa:21220,,54807,0.096,other,2.9,,1.28,1.11,,,0.23,2,1,1,4,2,,0,13054,167,,,,24,13,0,,6,1,0,,0,,28556,24150,2023-02-11,,0.521,0.441,0,,2,9807,0.179,20.1,,,60,26,1,13,3,1,0.015,,4,8,5.0,,0,3276,0.06
21260,US,,,cbsa,,iso1:us#cbsa:21260,,47935,0.07,other,7.2,,,,,,0.5,1,1,1,4,4,,0,10336,92,,,,27,16,2,,6,3,0,,24,,30205,26906,2023-02-11,,0.63,0.561,1,,2,14722,0.307,50.1,,,256,199,3,11,6,0,0.02,,4,6,3.3,,0,8159,0.17
21300,US,,,cbsa,,iso1:us#cbsa:21300,,83456,0.106,other,11.1,,0.86,0.56,,,0.68,2,2,2,4,0,,0,26544,285,,,,192,114,7,,20,13,2,,15,,60091,53513,2023-02-11,,0.72,0.641,0,,3,29292,0.351,77.9,,,302,189,10,28,21,2,0.036,,9,9,7.6,,0,13117,0.157
21340,US,,,cbsa,,iso1:us#cbsa:21340,,844124,0.108,other,7.9,,0.98,0.16,,,0.86,2,2,1,4,1,,3,255471,3901,,,,593,487,18,,81,70,2,,0,,964770,723526,2023-02-11,,0.95,0.857,0,,3,286604,0.34,55.2,,,1186,974,36,162,140,4,0.032,,21,42,6.0,,0,128488,0.152
21380,US,,,cbsa,,iso1:us#cbsa:21380,,35843,,other,17.9,,0.86,0.6,,,,2,4,2,4,0,,4,12794,144,,,,,,,,,,,,0,,23196,21076,2023-02-11,,0.647,0.588,0,,3,10944,0.305,125.5,,,60,48,2,12,1,1,0.035,,,8,6.0,,0,4161,0.116
21420,US,,,cbsa,,iso1:us#cbsa:21420,,61056,,other,6.1,,0.79,0.69,,,0.53,1,4,1,4,0,,0,17918,314,,,,157,69,4,,12,6,0,,26,,37844,32064,2023-02-11,,0.62,0.525,0,,1,12600,0.206,42.6,,,216,93,4,12,6,0,0.031,,4,4,7.1,,0,5405,0.089
21460,US,,,cbsa,,iso1:us#cbsa:21460,,52342,0.201,other,24.0,,1.01,0.42,,,0.48,3,3,2,4,1,,0,16944,244,,,,62,37,1,,9,4,1,,0,,32337,25575,2023-02-11,,0.618,0.489,0,,3,8363,0.16,168.1,,,388,279,9,45,34,2,0.034,,4,32,13.3,,1,2239,0.043
21500,US,,,cbsa,,iso1:us#cbsa:21500,,269728,0.089,other,7.0,,1.06,0.35,,,0.68,1,1,1,4,1,,0,71292,893,,,,887,570,9,,128,87,3,,0,,188138,167538,2023-02-11,,0.698,0.621,0,,2,83798,0.311,48.9,,,973,638,12,141,94,3,0.017,,9,9,5.3,,0,,
21540,US,,,cbsa,,iso1:us#cbsa:21540,,35784,0.047,other,7.2,,0.85,0.86,,,,1,1,1,4,0,,4,12354,189,,,,32,21,0,,7,1,1,,0,,23753,22868,2023-02-11,,0.664,0.639,0,,2,12581,0.352,50.3,,,253,189,6,31,23,1,0.028,,5,4,5.6,,0,4904,0.137
21580,US,,,cbsa,,iso1:us#cbsa:21580,,38921,0.089,other,7.3,,0.88,0.78,,,0.62,1,1,1,4,0,,0,13249,165,,,,34,15,1,,5,3,0,,5,,30910,27369,2023-02-11,,0.794,0.703,0,,2,,,51.4,,,309,218,6,27,16,0,0.021,,4,6,1.7,,0,,
21640,US,,,cbsa,,iso1:us#cbsa:21640,,26985,0.084,other,26.5,,0.85,0.61,,,,3,1,3,4,0,,4,7926,128,,,,,,,,,,,,0,,15195,12495,2023-02-11,,0.563,0.463,0,,3,4689,0.174,185.3,,,776,558,18,90,68,4,0.034,,,64,13.3,,1,1133,0.042
21660,US,,,cbsa,,iso1:us#cbsa:21660,,382067,0.066,other,11.9,,1.22,0.24,,,0.69,2,1,2,4,2,,0,78781,699,,,,113,87,5,,16,11,2,,0,,298496,267508,2023-02-11,,0.781,0.7,0,,2,161868,0.424,83.5,,,254,190,5,32,17,2,0.034,,33,33,6.5,,0,83648,0.219
21700,US,,,cbsa,,iso1:us#cbsa:21700,,135558,0.077,other,6.0,,0.87,0.56,,,0.45,1,1,1,4,0,,0,28949,169,,,,230,135,6,,20,9,1,,57,,101153,92277,2023-02-11,,0.746,0.681,0,284481,1,58395,0.431,42.0,,,230,135,6,20,9,1,0.027,,6,6,3.7,,0,,
21740,US,,,cbsa,,iso1:us#cbsa:21740,,20226,0.083,other,19.4,,1.5,0.91,,,,3,1,2,4,3,,4,6368,43,,,,44,3,0,,6,0,0,,0,,12774,10892,2023-02-11,,0.632,0.539,0,,3,4671,0.231,135.8,,,44,3,0,6,0,0,0.0,,4,4,0.0,,0,1890,0.093
21780,US,,,cbsa,,iso1:us#cbsa:21780,,315086,0.17,other,14.8,,1.05,0.2,,,,2,2,2,4,1,,4,120484,1192,,,,,,,,,,,,0,,206475,187429,2023-02-11,,0.655,0.595,0,,3,97546,0.31,103.8,,,3664,2546,73,452,361,20,0.022,,,152,11.6,,1,34197,0.109
21820,US,,,cbsa,,iso1:us#cbsa:21820,,96849,0.163,other,11.4,,0.99,0.49,,,0.77,2,2,2,4,1,,1,33176,170,,,,101,73,4,,13,10,0,,0,,69077,62029,2023-02-11,,0.713,0.64,0,,3,25799,0.266,79.5,,,101,73,4,13,10,0,0.033,,5,5,4.5,,0,10976,0.113
21840,US,,,cbsa,,iso1:us#cbsa:21840,,18295,,other,2.1,,0.84,1.15,,,,1,4,1,4,0,,4,4337,62,,,,25,11,1,,2,0,0,,0,,9954,9115,2023-02-11,,0.544,0.498,0,,1,5130,0.28,14.7,,,109,61,2,2,0,0,0.018,,5,9,2.0,,0,2786,0.152
